"No.","Info","Time","Source","Destination","Protocol","Length"
"88303","Standard query response 0xceec A msedge.b.tlu.dl.delivery.mp.microsoft.com CNAME cdp-f-tlu-net.trafficmanager.net CNAME wildcard.f.tlu.dl.delivery.mp.microsoft.com.edgesuite.net CNAME a1847.dscd.akamai.net A 23.219.2.87 A 23.219.2.91","27.740168","9.9.9.9","10.10.10.9","DNS","279"
"96225","Standard query 0x1a07 A mobile.events.data.microsoft.com","30.315011","10.10.10.129","9.9.9.9","DNS","92"
"96336","Standard query response 0x1a07 A mobile.events.data.microsoft.com CNAME mobile.events.data.trafficmanager.net CNAME onedscolprduks04.uksouth.cloudapp.azure.com A 51.104.15.253","30.327782","9.9.9.9","10.10.10.129","DNS","213"
"98660","Standard query 0xd94c A msedge.b.tlu.dl.delivery.mp.microsoft.com","31.067621","10.10.10.9","9.9.9.9","DNS","101"
"98665","Standard query response 0xd94c A msedge.b.tlu.dl.delivery.mp.microsoft.com CNAME cdp-f-tlu-net.trafficmanager.net CNAME wildcard.f.tlu.dl.delivery.mp.microsoft.com.edgesuite.net CNAME a1847.dscd.akamai.net A 23.219.2.91 A 23.219.2.87","31.078531","9.9.9.9","10.10.10.9","DNS","279"
"99741","Standard query 0xb307 A dns.quad9.net","31.456057","10.10.10.55","9.9.9.9","DNS","73"
"99744","Standard query response 0xb307 A dns.quad9.net A 149.112.112.112 A 9.9.9.9","31.468501","9.9.9.9","10.10.10.55","DNS","105"
"105199","Standard query 0xdf1f A msedge.b.tlu.dl.delivery.mp.microsoft.com","33.101941","10.10.10.9","9.9.9.9","DNS","101"
"105202","Standard query response 0xdf1f A msedge.b.tlu.dl.delivery.mp.microsoft.com CNAME cdp-f-tlu-net.trafficmanager.net CNAME wildcard.f.tlu.dl.delivery.mp.microsoft.com.edgesuite.net CNAME a1847.dscd.akamai.net A 23.219.2.87 A 23.219.2.91","33.113818","9.9.9.9","10.10.10.9","DNS","279"
"106915","Standard query 0xb5ba A p13n.adobe.io","33.685455","fe80::4d93:5845:e542:e5f8","fec0:0:0:ffff::1","DNS","93"
