"No.","Time","Source","Destination","Protocol","Length","Info"
"28","10.065273","172.30.48.1","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"29","10.065581","fe80::fed1:5216:71f4:8753","ff02::fb","MDNS","107","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"30","10.065709","fe80::fed1:5216:71f4:8753","ff02::fb","MDNS","107","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"31","10.065895","fe80::fed1:5216:71f4:8753","ff02::fb","MDNS","107","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"32","12.035446","172.30.48.1","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"33","12.066787","172.30.48.1","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"34","12.067079","fe80::fed1:5216:71f4:8753","ff02::fb","MDNS","107","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"35","12.067184","fe80::fed1:5216:71f4:8753","ff02::fb","MDNS","107","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"36","12.067363","fe80::fed1:5216:71f4:8753","ff02::fb","MDNS","107","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"37","14.039254","172.30.48.1","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"38","14.070372","172.30.48.1","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"39","14.070691","fe80::fed1:5216:71f4:8753","ff02::fb","MDNS","107","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"40","14.070780","fe80::fed1:5216:71f4:8753","ff02::fb","MDNS","107","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"41","14.070972","fe80::fed1:5216:71f4:8753","ff02::fb","MDNS","107","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"42","16.041682","172.30.48.1","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"43","16.073137","172.30.48.1","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"44","16.073484","fe80::fed1:5216:71f4:8753","ff02::fb","MDNS","107","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"45","16.073576","fe80::fed1:5216:71f4:8753","ff02::fb","MDNS","107","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"46","16.073759","fe80::fed1:5216:71f4:8753","ff02::fb","MDNS","107","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"47","18.043675","172.30.48.1","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"48","18.074390","172.30.48.1","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"49","18.074705","fe80::fed1:5216:71f4:8753","ff02::fb","MDNS","107","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"50","18.074804","fe80::fed1:5216:71f4:8753","ff02::fb","MDNS","107","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"51","18.074999","fe80::fed1:5216:71f4:8753","ff02::fb","MDNS","107","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
